"numero";"apellidos";"nombres";"fecha_nac";"edad";"nacionalidad";"estatura";"peso";"posición";"Equipo"
22;"Vaca Urquiza";"Henry";27/01/98;18;"Bolivia";;60;"Volante";"Bolivia"
17;"Velasco Loayza";"Marcelo";5/02/98;18;"Bolivia";;58;"Volante";"Bolivia"
8;"Villaroel Angulo";"Moisés";7/09/98;18;"Bolivia";1,7;60;"Volante";"Bolivia"
18;"De Lima";"Marcos Fernando";10/06/97;19;"Bolivia";;;"Delantero";"Bolivia"
11;"Miranda";"Bruno";10/02/98;18;"Bolivia";1,8;75;"Delantero";"Bolivia"
9;"Monteiro";"Ronaldo";11/01/98;19;"Bolivia";;65;"Delantero";"Bolivia"
19;"Panique";"Delfin";17/02/97;19;"Bolivia";;;"Delantero";"Bolivia"
15;"Quintanilla";"Cristhian";24/05/97;19;"Bolivia";;;"Delantero";"Bolivia"
7;"Robledo";"Junior";10/07/97;19;"Bolivia";;;"Delantero";"Bolivia"
"DT";"Micale";"Rogério";28/03/69;47;"Brasil";;;"Delantero";"Brasil"
1;"Perri";"Lucas";10/12/97;19;"Brasil";1,95;95;"Arquero";"Brasil"
23;;"Caique";31/07/97;19;"Brasil";1,85;80;"Arquero";"Brasil"
12;"Schwengber";"Cleiton";19/08/97;19;"Brasil";1,9;82;"Arquero";"Brasil"
13;;"Robson";12/11/97;19;"Brasil";1,84;65;"Defensor";"Brasil"
6;"Guilherme";"Arana";14/04/97;19;"Brasil";1,78;75;"Defensor";"Brasil"
2;;"Dodô";17/11/98;18;"Brasil";1,66;68;"Defensor";"Brasil"
16;;"Rogerio";13/01/98;19;"Brasil";1,78;;"Defensor";"Brasil"
3;"Cunha";"Lucas";23/01/97;20;"Brasil";1,86;80;"Defensor";"Brasil"
14;;"Gabriel";19/12/97;19;"Brasil";;;"Defensor";"Brasil"
4;;"Lyanco";1/02/97;19;"Brasil";;;"Defensor";"Brasil"
15;"Santos";"Léo";9/12/98;18;"Brasil";1,86;78;"Defensor";"Brasil"
10;"Paquetá";"Lucas";27/08/97;19;"Brasil";1,8;72;"Volante";"Brasil"
17;;"Maycon";15/07/97;19;"Brasil";1,71;66;"Volante";"Brasil"
7;;"Caio Henrique";31/07/97;19;"Brasil";1,78;67;"Volante";"Brasil"
5;;"Allan";3/03/97;19;"Brasil";1,8;70;"Volante";"Brasil"
8;"Luiz";"Douglas ";9/05/98;18;"Brasil";1,78;65;"Volante";"Brasil"
21;;"Giovanny";17/09/97;19;"Brasil";1,75;68;"Delantero";"Brasil"
18;;"Richarlison";10/05/97;19;"Brasil";1,79;71;"Delantero";"Brasil"
22;;"Arturzinho";15/02/98;18;"Brasil";1,68;65;"Delantero";"Brasil"
11;"Neres";"David";3/03/97;19;"Brasil";1,77;74;"Delantero";"Brasil"
9;"Vizeu";"Felipe";12/03/97;19;"Brasil";1,84;82;"Delantero";"Brasil"
19;"Jabá";"Léo";2/08/98;18;"Brasil";1,78;75;"Delantero";"Brasil"
20;"Sávio";"Matheus";15/04/97;19;"Brasil";1,71;62;"Delantero";"Brasil"
"DT";"Robles";"Héctor";7/09/71;45;"Chile";;;"Director técnico";"Chile"
1;"Collao";"Gonzalo";9/04/90;26;"Chile";;;"Arquero";"Chile"
23;"López";"Zacarías";30/06/98;18;"Chile";1,83;70;"Arquero";"Chile"
12;"Manosalva";"Brayan";14/01/97;20;"Chile";;;"Arquero";"Chile"
5;"González";"Diego";29/04/98;18;"Chile";1,84;74;"Defensor";"Chile"
4;"Gutiérrez";"Cristián";18/02/97;19;"Chile";1,79;69;"Defensor";"Chile"
18;"Nozomi Seijiro";"Kimura";23/01/97;20;"Chile";;;"Defensor";"Chile"
3;"Ramírez";"Nicolás";1/05/97;19;"Chile";1,82;70;"Defensor";"Chile"
