timestamp,AccX,AccY,AccZ
1569277139034,,-6.822277545928955,5.208585739135742
1569277139035,-19.58816146850586,,
1569277139080,-10.969035148620605,-6.602011203765869,1.1671733856201172
1569277139106,-0.5925649404525757,-6.941987991333008,-6.511031627655029
1569277139164,-2.6659436225891113,-10.140641212463379,-4.016273498535156
1569277139190,,,-3.02986216545105
1569277139191,-3.824737310409546,-8.522160530090332,
1569277139247,,,-2.096123695373535
1569277139248,-7.717709064483643,-7.416039943695068,
1569277139274,-7.171831130981445,-5.203797340393066,-2.24935245513916
1569277139320,-8.78073501586914,-5.4480061531066895,-2.6659436225891113
1569277139346,-8.637083053588867,-2.6611552238464355,1.2485761642456055
1569277139393,-8.407238960266113,-2.632424831390381,5.850231647491455
1569277139436,-9.609128952026367,-4.270058631896973,-0.6356605291366577
1569277139489,-8.04810905456543,-3.072957992553711,-1.4496891498565674
1569277139516,-11.131840705871582,-4.619612216949463,7.444770336151123
1569277139568,,,5.845443248748779
1569277139569,-13.985729217529297,-4.835090160369873,
1569277139595,,,-0.46806642413139343
1569277139596,-13.06635570526123,-2.0242974758148193,
1569277139653,-15.704766273498535,-6.424840450286865,-5.38096809387207
1569277139670,-15.752650260925293,-10.494982719421387,-8.416815757751465
1569277139720,,,-8.119935035705566
1569277139721,-10.226832389831543,-12.175712585449219,
1569277139747,-2.4025814533233643,-11.821371078491211,4.614823818206787
1569277139787,-2.4217350482940674,-6.482301235198975,-2.3738510608673096
1569277139854,-2.1487960815429688,-4.997896194458008,-1.823184609413147
1569277139880,-2.9963433742523193,-1.7944542169570923,-1.9572598934173584
1569277139920,,-1.6077064275741577,-2.3738510608673096
1569277139921,-2.804807186126709,,
1569277139945,-3.3315317630767822,-2.522291421890259,-1.698686122894287
1569277139987,-2.584540843963623,-4.978742599487305,0.11851298063993454
1569277140053,,-8.646659851074219,15.130157470703125
1569277140079,-17.90264320373535,-6.329071998596191,5.117606163024902
1569277140114,,,3.09689998626709
1569277140115,-14.148534774780273,-8.541314125061035,
1569277140145,-2.1487960815429688,-6.975506782531738,-5.500678539276123
1569277140192,,,-5.505466938018799
1569277140193,-3.9205052852630615,-9.642647743225098,
1569277140239,-4.0114850997924805,-7.540538311004639,-1.746570110321045
1569277140279,-6.6355299949646,-6.48708963394165,-1.7322049140930176
1569277140305,,,-2.40736985206604
1569277140306,-6.755239963531494,-5.505466938018799,
1569277140353,-7.597999095916748,-5.4911017417907715,-2.5127146244049072
1569277140389,-8.000225067138672,-4.298789024353027,-0.9612720012664795
1569277140430,-7.593210697174072,-3.7385458946228027,-1.0187327861785889
1569277140468,-8.158242225646973,-4.322731018066406,3.824737310409546
1569277140519,-9.537302017211914,-3.3506853580474854,-1.5598224401474
1569277140548,,,1.5263035297393799
1569277140555,-10.62427043914795,-3.728969097137451,
1569277140600,-12.573150634765625,-4.447229862213135,7.214926719665527
1569277140628,-13.708002090454102,-3.604470729827881,2.8622682094573975
1569277140677,-13.808558464050293,-5.031414985656738,-1.9093759059906006
1569277140709,-15.436614990234375,-8.392873764038086,-6.3961100578308105
1569277140789,,-11.42872142791748,-8.459911346435547
1569277140790,-13.210007667541504,-11.495759010314941,
1569277140836,,,0.6308721303939819
1569277140837,-3.4560301303863525,-9.211690902709961,
1569277140885,-2.009932279586792,-4.748898983001709,-2.206256866455078
1569277140910,,,-2.0482394695281982
1569277140911,-2.6659436225891113,-2.7712883949279785,
1569277140955,,,-2.469619035720825
1569277140956,-2.5989060401916504,-2.12485408782959,
1569277141048,,,-1.3778630495071411
1569277141049,-3.307589530944824,-2.2445640563964844,1.0857704877853394
1569277141074,-23.031023025512695,-9.50857162475586,14.167688369750977
1569277141123,,-7.775169849395752,13.406332015991211
1569277141124,-27.31185531616211,,
1569277141165,-21.594501495361328,-5.2229509353637695,6.496666431427002
1569277141213,-0.1711854189634323,-6.592434406280518,-7.5213847160339355
1569277141239,-0.5111620426177979,-8.493430137634277,-6.31949520111084
1569277141293,-1.2054805755615234,-9.906009674072266,-3.3889925479888916
1569277141319,,,-2.9963433742523193
1569277141320,-6.003460884094238,-7.73207426071167,
1569277141377,-9.11113452911377,-8.565256118774414,-3.0394389629364014
1569277141405,-7.688978672027588,-5.337872505187988,-2.584540843963623
1569277141464,,,-0.9900023937225342
1569277141465,-9.527725219726562,-4.356249809265137,
1569277141491,,-1.535880446434021,3.796006679534912
1569277141492,-9.441534042358398,,
1569277141549,-9.149441719055176,-2.6563668251037598,4.3179426193237305
1569277141561,,-2.49834942817688,-1.3539210557937622
1569277141562,-7.052121162414551,,
1569277141619,,,-0.1711854189634323
1569277141620,-9.781511306762695,-3.537432909011841,
1569277141644,-11.802217483520508,-5.357026100158691,8.96269416809082
1569277141687,-11.711237907409668,-2.388216257095337,-0.05147533491253853
1569277141764,-13.21479606628418,-3.4847605228424072,-1.095347285270691
1569277141838,,,-8.819042205810547
1569277141839,-15.360000610351562,-11.227608680725098,4.5190558433532715
1569277141904,-2.5701754093170166,-11.9027738571167,4.5190558433532715
1569277141933,-1.9620482921600342,-6.415263652801514,-2.2445640563964844
1569277141964,-2.871845006942749,-4.0976762771606445,-1.9907786846160889
1569277142016,,,-2.254140853881836
1569277142017,-2.6659436225891113,-2.40736985206604,
1569277142040,-2.8574798107147217,-2.230198860168457,-2.5797524452209473
1569277142087,,-4.820724964141846,-0.25737667083740234
1569277142088,-3.446453332901001,,
1569277142120,-13.267468452453613,-7.305906295776367,9.436745643615723
1569277142186,-24.170663833618164,-5.500678539276123,15.077485084533691
1569277142211,-17.385496139526367,-9.130288124084473,2.6132712364196777
