;;;;;;;;;
Anexo 1. Desempeño fiscal de los municipios 2013, ;;;;;;;;;
ordenados de mayor a menor calificación;;;;;;;;;
;;;;;;;;;
Codigo Dane Mpio;Departamento;Municipio;Autofinanciamiento gastos de funcionamiento 1/;Respaldo del servicio de la deuda 2/;Dependencia transferencias y regalías 3/;Generación de recursos propios 4/;Magnitud de la inversión 5/;Capacidad de ahorro 6/;Indicador de desempeño Fiscal 7/
 05030 ; Antioquia ; Amagá ;49,04;5,04;69,83;75,68;83,26;50,32;73,50
 25658 ; Cundinamarca ; San Francisco ;47,39;0,00;68,11;65,27;85,58;50,96;73,48
 05656 ; Antioquia ; San Jerónimo ;60,18;1,99;55,64;77,17;72,28;42,38;73,46
 73319 ; Tolima ; Guamo ;61,15;1,17;73,52;76,43;86,09;45,35;73,45
 50001 ; Meta ; Villavicencio ;50,97;5,89;60,83;78,70;81,44;40,19;73,37
 05042 ; Antioquia ; Santafé de Antioquia ;46,04;2,15;72,97;72,19;81,97;54,15;73,34
 68132 ; Santander ; California ;40,73;1,52;64,23;59,77;82,94;56,52;73,34
 91001 ; Amazonas ; Leticia ;51,48;5,86;63,21;71,10;86,02;44,90;73,27
 20013 ; Cesar ; Agustín Codazzi ;70,57;0,00;86,96;78,45;93,80;45,99;73,26
 23162 ; Córdoba ; Cereté ;33,15;1,41;78,96;48,75;93,07;71,46;73,26
 44078 ; La Guajira ; Barrancas ;42,81;7,23;51,98;13,93;93,38;87,14;73,26
 23807 ; Córdoba ; Tierralta ;64,99;3,56;79,98;72,95;94,77;47,78;73,25
 76109 ; Valle Del Cauca ; Buenaventura ;64,76;5,24;74,16;94,34;85,19;31,71;73,25
 86569 ; Putumayo ; Puerto Caicedo ;61,00;4,28;73,00;62,58;93,19;53,96;73,23
 23660 ; Córdoba ; Sahagún ;67,97;6,50;87,85;66,14;96,65;63,93;73,20
 73671 ; Tolima ; Saldaña ;69,99;0,00;61,87;73,49;77,52;42,49;73,13
