"Cod.Depto";"Nombre.Departamento";"Cod.Mpio";"Nombre.Municipio";"Cod.MpioCompleto";"NBI";"Nota.Aclaratoria"
13;"BOLIVAR";442;"MARIA LA BAJA";13442;59,99;
13;"BOLIVAR";458;"MONTECRISTO";13458;68,33;
13;"BOLIVAR";468;"MOMPOS";13468;51,63;
13;"BOLIVAR";490;"NOROSI (1)";13490;88,81;
13;"BOLIVAR";473;"MORALES";13473;63,8;
13;"BOLIVAR";549;"PINILLOS";13549;81,05;
13;"BOLIVAR";580;"REGIDOR";13580;66,73;
13;"BOLIVAR";600;"RIO VIEJO (1)";13600;76,98;
13;"BOLIVAR";620;"SAN CRISTOBAL";13620;45,96;
13;"BOLIVAR";647;"SAN ESTANISLAO";13647;57,08;
13;"BOLIVAR";650;"SAN FERNANDO";13650;69,8;
13;"BOLIVAR";654;"SAN JACINTO";13654;94,38;
13;"BOLIVAR";655;"SAN JACINTO DEL CAUCA";13655;90,43;
13;"BOLIVAR";657;"SAN JUAN NEPOMUCENO";13657;67,87;
13;"BOLIVAR";667;"SAN MARTIN DE LOBA";13667;68,93;
13;"BOLIVAR";670;"SAN PABLO";13670;65,93;
13;"BOLIVAR";673;"SANTA CATALINA";13673;48,34;
13;"BOLIVAR";683;"SANTA ROSA";13683;91,9;
13;"BOLIVAR";688;"SANTA ROSA DEL SUR";13688;55,43;
13;"BOLIVAR";744;"SIMITI";13744;62;
13;"BOLIVAR";760;"SOPLAVIENTO";13760;53,23;
13;"BOLIVAR";780;"TALAIGUA NUEVO";13780;63,48;
13;"BOLIVAR";810;"TIQUISIO";13810;86,48;
13;"BOLIVAR";836;"TURBACO";13836;49,62;
13;"BOLIVAR";838;"TURBANA";13838;62,02;
13;"BOLIVAR";873;"VILLANUEVA";13873;86,43;
13;"BOLIVAR";894;"ZAMBRANO";13894;55,92;
15;"BOYACA";1;"TUNJA";15001;12,01;
15;"BOYACA";22;"ALMEIDA";15022;37,32;
15;"BOYACA";47;"AQUITANIA";15047;42,76;
15;"BOYACA";51;"ARCABUCO";15051;33,25;
15;"BOYACA";87;"BELEN";15087;31,06;
15;"BOYACA";90;"BERBEO";15090;36,12;
15;"BOYACA";92;"BETEITIVA";15092;64,02;
15;"BOYACA";97;"BOAVITA";15097;52,88;
15;"BOYACA";104;"BOYACA";15104;51,01;
15;"BOYACA";106;"BRICEÑO";15106;35,02;
15;"BOYACA";109;"BUENAVISTA";15109;45,04;
15;"BOYACA";114;"BUSBANZA";15114;57,97;
15;"BOYACA";131;"CALDAS";15131;39,04;
15;"BOYACA";135;"CAMPOHERMOSO";15135;44,05;
15;"BOYACA";162;"CERINZA";15162;26,02;
15;"BOYACA";172;"CHINAVITA";15172;35,79;
15;"BOYACA";176;"CHIQUINQUIRA";15176;17,87;
15;"BOYACA";180;"CHISCAS";15180;69,98;
15;"BOYACA";183;"CHITA";15183;81,22;
15;"BOYACA";185;"CHITARAQUE";15185;47,31;
15;"BOYACA";187;"CHIVATA";15187;49,37;
15;"BOYACA";189;"CIENEGA";15189;29,81;
15;"BOYACA";204;"COMBITA";15204;38,4;
15;"BOYACA";212;"COPER";15212;47,03;
15;"BOYACA";215;"CORRALES";15215;27,95;
15;"BOYACA";218;"COVARACHIA";15218;79,65;
15;"BOYACA";223;"CUBARA";15223;58,46;
15;"BOYACA";224;"CUCAITA";15224;42,91;
15;"BOYACA";226;"CUITIVA";15226;46,19;
15;"BOYACA";232;"CHIQUIZA";15232;49;
15;"BOYACA";236;"CHIVOR";15236;34,16;
15;"BOYACA";238;"DUITAMA";15238;8,99;
15;"BOYACA";244;"EL COCUY";15244;54,67;
15;"BOYACA";248;"EL ESPINO";15248;51,35;
15;"BOYACA";272;"FIRAVITOBA";15272;27,59;
15;"BOYACA";276;"FLORESTA";15276;46,14;
15;"BOYACA";293;"GACHANTIVA";15293;60,35;
15;"BOYACA";296;"GAMEZA";15296;44,19;
15;"BOYACA";299;"GARAGOA";15299;23,06;
15;"BOYACA";317;"GUACAMAYAS";15317;62,69;
15;"BOYACA";322;"GUATEQUE";15322;25,96;
15;"BOYACA";325;"GUAYATA";15325;48,08;
15;"BOYACA";332;"GsICAN";15332;68,54;
15;"BOYACA";362;"IZA";15362;23,22;
15;"BOYACA";367;"JENESANO";15367;41,83;
15;"BOYACA";368;"JERICO";15368;74;
15;"BOYACA";377;"LABRANZAGRANDE";15377;70,15;
15;"BOYACA";380;"LA CAPILLA";15380;25,3;
15;"BOYACA";401;"LA VICTORIA";15401;44,74;
15;"BOYACA";403;"LA UVITA";15403;49,63;
15;"BOYACA";407;"VILLA DE LEYVA";15407;25,86;
15;"BOYACA";425;"MACANAL";15425;35,23;
15;"BOYACA";442;"MARIPI";15442;47,63;
15;"BOYACA";455;"MIRAFLORES";15455;25,35;
15;"BOYACA";464;"MONGUA";15464;47,14;
15;"BOYACA";466;"MONGUI";15466;30,14;
15;"BOYACA";469;"MONIQUIRA";15469;30,88;
15;"BOYACA";476;"MOTAVITA";15476;50,19;
15;"BOYACA";480;"MUZO";15480;45,67;
15;"BOYACA";491;"NOBSA";15491;13,54;
15;"BOYACA";494;"NUEVO COLON";15494;28,48;
15;"BOYACA";500;"OICATA";15500;51,64;
15;"BOYACA";507;"OTANCHE";15507;50,66;
15;"BOYACA";511;"PACHAVITA";15511;37;
15;"BOYACA";514;"PAEZ";15514;38,15;
15;"BOYACA";516;"PAIPA";15516;18,07;
15;"BOYACA";518;"PAJARITO";15518;41,63;
15;"BOYACA";522;"PANQUEBA";15522;46,93;
15;"BOYACA";531;"PAUNA";15531;61,74;
15;"BOYACA";533;"PAYA";15533;82,42;
15;"BOYACA";537;"PAZ DE RIO";15537;27,61;
15;"BOYACA";542;"PESCA";15542;50,12;
15;"BOYACA";550;"PISBA";15550;80,77;
15;"BOYACA";572;"PUERTO BOYACA";15572;39,31;
15;"BOYACA";580;"QUIPAMA";15580;53,78;
15;"BOYACA";599;"RAMIRIQUI";15599;41,51;
15;"BOYACA";600;"RAQUIRA";15600;60,22;
15;"BOYACA";621;"RONDON";15621;41,71;
15;"BOYACA";632;"SABOYA";15632;49,19;
15;"BOYACA";638;"SACHICA";15638;46,08;
15;"BOYACA";646;"SAMACA";15646;30,86;
15;"BOYACA";660;"SAN EDUARDO";15660;30,72;
15;"BOYACA";664;"SAN JOSE DE PARE";15664;44,83;
15;"BOYACA";667;"SAN LUIS DE GACENO";15667;33,53;
15;"BOYACA";673;"SAN MATEO";15673;52,08;
15;"BOYACA";676;"SAN MIGUEL DE SEMA";15676;31,44;
15;"BOYACA";681;"SAN PABLO DE BORBUR";15681;46,72;
15;"BOYACA";686;"SANTANA";15686;42,46;
15;"BOYACA";690;"SANTA MARIA";15690;32,73;
15;"BOYACA";693;"SANTA ROSA DE VITERBO";15693;17,14;
