;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
COLOMBIA. Necesidades Básicas Insatisfechas - NBI, por total, cabecera y resto, según municipio y nacional.;;;;;;;;;;
 A JUNIO 2012;;;;;;;;;;
RESULTADOS CENSO GENERAL 2005;;;;;;;;;;
;;;;;;;;;;
Cod Depto;Nombre Departamento;Cod Mpio;Nombre Municipio;Personas en NBI;;;;;;Nota Aclaratoria
;;;;Cabecera ;;Resto ;;Total ;;
;;;;Prop (%);cve (%);Prop (%);cve (%);Prop (%);cve (%);
15;BOYACA;377;LABRANZAGRANDE;21,60;-;81,60;-;70,15;-;
15;BOYACA;380;LA CAPILLA;12,63;-;31,43;-;25,30;-;
15;BOYACA;401;LA VICTORIA;32,45;-;54,20;-;44,74;-;
15;BOYACA;403;LA UVITA;14,65;-;67,39;-;49,63;-;
15;BOYACA;407;VILLA DE LEYVA;17,50;5,93;35,54;5,61;25,86;4,17;
15;BOYACA;425;MACANAL;15,48;-;40,18;-;35,23;-;
15;BOYACA;442;MARIPI;27,71;-;50,23;-;47,63;-;
15;BOYACA;455;MIRAFLORES;19,36;-;31,33;-;25,35;-;
15;BOYACA;464;MONGUA;25,10;-;58,48;-;47,14;-;
15;BOYACA;466;MONGUI;17,81;-;44,22;3,69;30,14;2,53;
15;BOYACA;469;MONIQUIRA;13,65;8,27;45,60;5,79;30,88;4,91;
15;BOYACA;476;MOTAVITA;42,12;-;51,11;2,51;50,19;2,30;
15;BOYACA;480;MUZO;32,60;-;61,97;-;45,67;-;
15;BOYACA;491;NOBSA;12,41;5,85;14,15;9,96;13,54;7,04;
15;BOYACA;494;NUEVO COLON;16,44;-;30,98;5,39;28,48;4,86;
15;BOYACA;500;OICATA;41,43;-;52,79;-;51,64;-;
15;BOYACA;507;OTANCHE;30,83;-;62,66;-;50,66;-;
15;BOYACA;511;PACHAVITA;20,97;-;39,77;-;37,00;-;
15;BOYACA;514;PAEZ;23,10;-;46,13;-;38,15;-;
15;BOYACA;516;PAIPA;10,75;9,32;27,36;8,42;18,07;6,42;
15;BOYACA;518;PAJARITO;24,25;-;52,44;-;41,63;-;
15;BOYACA;522;PANQUEBA;16,35;-;62,19;-;46,93;-;
15;BOYACA;531;PAUNA;36,26;-;70,07;-;61,74;-;
15;BOYACA;533;PAYA;53,58;-;88,00;-;82,42;-;
15;BOYACA;537;PAZ DE RIO;11,94;-;50,48;-;27,61;-;
15;BOYACA;542;PESCA;19,89;-;59,80;-;50,12;-;
15;BOYACA;550;PISBA;46,30;-;88,53;-;80,77;-;
15;BOYACA;572;PUERTO BOYACA;29,98;4,23;58,47;2,93;39,31;2,60;
15;BOYACA;580;QUIPAMA;26,27;-;60,85;-;53,78;-;
15;BOYACA;599;RAMIRIQUI;16,42;-;57,97;-;41,51;-;
15;BOYACA;600;RAQUIRA;51,94;-;62,33;-;60,22;-;
15;BOYACA;621;RONDON;26,16;-;44,47;-;41,71;-;
15;BOYACA;632;SABOYA;15,47;-;51,32;-;49,19;-;
15;BOYACA;638;SACHICA;29,08;-;59,15;3,24;46,08;2,35;
15;BOYACA;646;SAMACA;19,71;4,63;35,14;5,23;30,86;4,38;
15;BOYACA;660;SAN EDUARDO;23,00;-;35,24;-;30,72;-;
15;BOYACA;664;SAN JOSE DE PARE;15,18;-;50,96;3,36;44,83;3,17;
15;BOYACA;667;SAN LUIS DE GACENO;17,89;-;41,22;-;33,53;-;
15;BOYACA;673;SAN MATEO;22,27;-;65,11;-;52,08;-;
15;BOYACA;676;SAN MIGUEL DE SEMA;23,15;-;32,44;-;31,44;-;
15;BOYACA;681;SAN PABLO DE BORBUR;34,67;-;47,68;-;46,72;-;
15;BOYACA;686;SANTANA;26,63;-;48,74;-;42,46;-;
15;BOYACA;690;SANTA MARIA;21,53;-;46,39;-;32,73;-;
15;BOYACA;693;SANTA ROSA DE VITERBO;7,30;12,12;29,45;7,64;17,14;6,50;
15;BOYACA;696;SANTA SOFIA;11,58;-;43,88;-;35,81;-;
15;BOYACA;720;SATIVANORTE;32,22;-;68,12;-;60,40;-;
15;BOYACA;723;SATIVASUR;18,35;-;53,64;-;46,14;-;
15;BOYACA;740;SIACHOQUE;35,45;-;53,44;-;50,80;-;
15;BOYACA;753;SOATA;23,20;8,71;68,98;6,26;40,11;5,09;
15;BOYACA;755;SOCOTA;29,61;-;77,62;-;72,35;-;
15;BOYACA;757;SOCHA;13,44;-;43,69;-;29,14;-;
15;BOYACA;759;SOGAMOSO;7,21;14,06;34,39;8,86;11,60;8,47;
15;BOYACA;761;SOMONDOCO;8,65;-;45,11;-;36,90;-;
15;BOYACA;762;SORA;30,11;-;49,31;-;46,30;-;
15;BOYACA;763;SOTAQUIRA;24,89;-;38,65;5,12;37,48;4,83;
15;BOYACA;764;SORACA;37,26;-;47,54;3,90;46,26;3,51;
15;BOYACA;774;SUSACON;34,51;-;63,35;-;55,95;-;
15;BOYACA;776;SUTAMARCHAN;15,43;-;41,02;-;35,38;-;
15;BOYACA;778;SUTATENZA;15,67;-;65,93;-;57,70;-;
15;BOYACA;790;TASCO;26,12;-;44,31;-;39,49;-;
15;BOYACA;798;TENZA;10,03;-;34,60;-;28,23;-;
15;BOYACA;804;TIBANA;25,18;-;49,80;-;45,90;-;
15;BOYACA;806;TIBASOSA;10,03;7,20;19,22;7,58;16,18;6,20;
15;BOYACA;808;TINJACA;15,69;-;53,40;-;48,03;-;
15;BOYACA;810;TIPACOQUE;30,47;-;74,02;-;63,14;-;
15;BOYACA;814;TOCA;25,86;-;55,93;-;44,45;-;
15;BOYACA;816;TOGsI;19,83;-;47,83;-;44,00;-;
